product_id,current_price,competitor_price,demand_last_week,stock_level,marketing_spend,season,day_of_week,customer_rating,units_sold,optimal_price
1385,159.42,161.04,290,820,4160.19,winter,wednesday,4.64,355,161.66
1191,95.68,104.59,239,758,147.07,festival,saturday,2.65,216,96.55
1955,159.11,161.92,159,66,4279.12,winter,tuesday,2.67,154,161.51
1276,142.3,142.08,165,78,1721.58,winter,monday,2.71,159,143.12
1160,42.81,52.92,14,792,542.66,summer,sunday,3.22,10,44.02
1459,104.51,100.78,427,634,2706.21,festival,saturday,4.56,412,105.5
1313,91.58,91.04,56,366,372.16,monsoon,wednesday,3.27,55,91.69
1021,87.66,85.14,213,378,2230.3,monsoon,tuesday,4.06,191,88.54
1252,110.8,124.49,322,704,325.31,summer,sunday,2.85,358,112.25
1747,196.51,199.85,11,925,4981.2,summer,saturday,4.14,13,199.3
1856,163.52,164.18,477,182,2987.82,monsoon,thursday,4.96,375,165.16
1560,181.22,159.45,421,54,3277.75,summer,tuesday,2.65,521,180.66
1474,10.78,14.36,321,863,1235.42,festival,tuesday,4.24,302,11.73
1058,32.37,39.39,226,850,4587.1,winter,monday,2.7,163,35.27
1510,21.53,30.69,190,639,4038.06,monsoon,monday,3.19,192,24.41
1681,56.33,54.31,67,108,3005.64,summer,monday,4.16,66,57.68
1475,91.17,97.68,197,620,4813.83,monsoon,monday,4.97,247,94.26
1699,130.2,134.76,465,605,1128.37,festival,sunday,4.22,426,131.22
1975,102.66,82.37,380,422,4688.02,festival,saturday,3.08,336,102.94
1782,181.12,192.34,50,579,4084.22,winter,monday,3.69,56,184.26
1189,188.27,186.64,272,448,3199.81,monsoon,saturday,4.25,257,189.72
1957,36.89,39.26,69,620,2749.99,festival,monday,3.22,86,38.45
1686,171.32,165.09,372,736,597.34,summer,saturday,3.78,479,170.96
1957,98.94,105.93,372,294,1312.05,festival,friday,3.39,284,100.29
1562,93.4,97.03,452,127,2240.38,festival,wednesday,4.35,400,94.94
1875,158.06,141.37,443,730,945.68,winter,saturday,3.97,316,156.84
1566,23.16,16.3,247,638,860.88,festival,monday,4.78,262,22.93
1243,177.09,191.26,467,744,2014.7,monsoon,saturday,2.73,474,179.43
1831,135.82,143.8,354,670,1642.44,festival,monday,4.66,291,137.46
1504,175.68,172.38,126,414,1299.84,summer,wednesday,3.02,114,175.96
1130,198.92,195.74,425,127,2457.45,festival,thursday,3.41,330,199.84
1484,106.01,97.14,345,56,981.39,festival,wednesday,2.79,272,105.6
1818,23.19,14.88,267,387,2504.03,summer,saturday,3.74,265,23.61
1646,37.47,39.48,87,451,1501.42,winter,monday,2.94,106,38.37
1020,68.11,84.52,268,449,1167.75,summer,thursday,4.44,267,70.36
1840,25.19,22.04,222,120,3558.64,summer,wednesday,3.57,187,26.67
1166,163.99,164.3,372,953,186.71,festival,saturday,4.78,435,164.11
1273,62.89,55.6,280,801,4264.61,monsoon,saturday,3.28,331,64.23
1387,195.3,194.35,281,54,1534.18,festival,monday,4.33,316,196.03
1600,142.01,145.43,137,661,3079.91,winter,sunday,3.15,119,143.83
1315,38.82,57.79,125,184,126.26,winter,friday,4.74,127,40.85
1013,97.83,109.57,235,711,3622.86,summer,saturday,4.76,195,100.83
1241,96.04,107.78,163,286,3474.79,summer,saturday,3.99,204,98.97
1776,101.04,96.51,40,823,2278.73,summer,saturday,3.15,33,101.65
1345,109.46,100.32,351,22,2333.25,monsoon,wednesday,3.27,297,109.72
1564,11.08,11.08,186,646,1503.66,summer,saturday,4.08,167,11.82
1897,138.83,132.75,447,29,3005.84,monsoon,thursday,3.09,507,139.73
1339,100.0,95.58,294,466,3623.77,winter,saturday,3.5,316,101.35
1091,159.24,162.0,402,724,4.16,festival,monday,3.14,344,159.45
1366,163.99,170.4,229,468,4999.8,summer,saturday,4.07,189,167.14
1955,49.95,62.0,440,534,2534.82,summer,sunday,4.25,409,52.43
1454,14.44,19.58,410,768,3443.28,monsoon,tuesday,4.61,313,16.68
1427,142.13,143.62,425,641,1120.64,monsoon,wednesday,4.36,463,142.84
1508,195.66,187.52,399,688,3868.12,festival,thursday,2.62,433,196.69
1775,92.1,104.21,384,371,3811.91,monsoon,thursday,3.27,285,95.19
1942,55.62,63.42,180,977,3872.75,winter,monday,2.55,161,58.22
1034,35.55,31.29,185,898,4105.97,summer,sunday,2.74,230,37.07
1205,61.05,69.55,309,758,3248.17,summer,monday,4.05,218,63.5
1080,68.94,70.06,413,774,3757.41,festival,friday,3.04,525,70.86
1931,87.66,99.0,333,290,1210.75,festival,tuesday,4.93,254,89.47
1561,132.8,130.42,348,399,3358.99,summer,wednesday,4.89,327,134.3
1871,58.27,56.25,49,585,2754.25,winter,thursday,3.03,40,59.39
1387,14.94,-0.93,224,173,2155.39,summer,thursday,4.14,251,14.47
1001,77.79,73.19,316,614,532.56,summer,wednesday,3.5,342,77.56
1389,171.85,188.5,80,611,2092.44,summer,thursday,3.7,95,174.54
1565,102.18,128.87,321,219,2399.35,summer,tuesday,2.8,351,106.02
1105,193.13,197.59,355,288,1361.34,winter,monday,3.2,440,194.24
1771,103.21,98.28,267,766,3686.71,summer,sunday,4.34,233,104.55
1821,58.8,56.06,180,922,0.48,monsoon,tuesday,4.17,156,58.49
1476,42.7,42.23,370,134,3461.9,summer,friday,3.35,428,44.39
1702,140.43,137.13,50,53,3230.38,monsoon,friday,4.82,59,141.8
1401,109.59,117.5,52,794,3861.4,summer,saturday,4.37,45,112.3
1729,122.78,109.03,55,489,4028.68,monsoon,saturday,2.6,59,123.35
1555,152.25,152.57,499,446,4944.45,monsoon,tuesday,3.92,406,154.76
1161,146.55,164.87,240,48,4319.79,monsoon,wednesday,3.98,309,150.59
1201,13.46,23.91,14,654,4595.92,summer,friday,4.67,12,16.82
1957,161.5,181.96,115,521,2978.38,monsoon,thursday,2.81,137,164.97
1995,108.88,107.58,353,263,3937.89,summer,friday,4.9,394,110.79
1269,81.38,74.98,311,727,4391.82,monsoon,monday,4.77,225,82.95
1862,109.82,113.0,66,596,455.29,winter,sunday,4.75,85,110.39
1815,124.43,116.8,208,126,1178.56,winter,saturday,2.9,202,124.24
1270,34.15,29.01,209,567,737.95,festival,saturday,3.62,162,33.98
1455,86.4,84.31,32,578,1144.47,festival,tuesday,2.51,35,86.68
1461,70.44,82.72,458,812,2988.25,summer,saturday,2.83,416,73.07
1726,73.33,82.74,16,369,3578.79,festival,saturday,4.92,15,76.12
1251,22.81,27.96,271,672,3477.79,monsoon,sunday,3.93,252,25.04
1701,36.17,37.22,98,195,3599.8,monsoon,monday,3.42,76,38.08
1295,36.56,54.23,202,414,3979.78,festival,wednesday,3.66,214,40.31
1724,77.78,82.19,362,806,2853.77,summer,sunday,4.35,356,79.63
1719,179.43,170.27,182,626,4932.7,festival,tuesday,3.63,159,180.95
1748,45.18,46.93,286,110,2935.45,festival,thursday,2.9,268,46.81
1337,86.16,76.76,486,196,1600.33,monsoon,thursday,2.84,348,85.99
1878,65.76,60.58,216,713,1638.04,monsoon,sunday,3.62,267,66.02
1052,158.54,172.38,111,336,1392.05,summer,tuesday,4.22,129,160.65
1791,14.77,17.87,351,336,4795.23,summer,tuesday,3.82,248,17.49
1921,43.33,44.49,169,61,332.76,monsoon,tuesday,4.72,140,43.69
1216,46.08,48.77,431,144,2120.33,festival,friday,4.48,527,47.47
1763,198.63,197.9,218,637,4229.29,summer,saturday,4.69,212,200.69
1187,116.3,95.21,237,418,3106.61,winter,monday,4.39,212,115.77
1379,32.1,39.53,278,329,3964.72,summer,friday,3.11,323,34.8
1492,58.08,64.82,303,424,952.1,winter,saturday,2.87,219,59.18
1040,37.73,39.57,309,151,1557.24,winter,wednesday,4.21,384,38.74
1156,29.3,22.42,224,862,887.02,festival,thursday,3.72,156,29.01
1014,160.45,178.28,462,742,2997.53,festival,wednesday,3.13,598,163.66
1812,101.67,96.92,412,374,616.44,festival,wednesday,2.82,524,101.46
1064,128.09,120.17,129,477,3614.42,monsoon,monday,4.54,114,129.13
1856,69.59,70.63,118,207,4202.02,monsoon,wednesday,3.6,114,71.8
1838,112.97,120.07,346,298,1068.91,summer,sunday,2.53,284,114.16
1520,55.23,60.23,91,637,3976.32,festival,sunday,2.61,114,57.63
1343,65.07,70.82,291,918,1457.54,summer,saturday,2.75,228,66.27
1128,132.19,144.09,466,274,871.37,monsoon,sunday,4.99,442,133.89
1647,34.32,37.28,453,710,4813.76,winter,saturday,3.11,446,36.96
1471,125.36,138.83,324,224,588.41,summer,saturday,3.2,389,126.99
1062,171.19,176.23,119,254,1997.97,monsoon,wednesday,4.58,120,172.75
1138,28.48,27.7,100,392,2110.21,summer,saturday,2.7,104,29.4
1498,180.0,175.62,63,571,2344.05,winter,wednesday,4.62,79,180.76
1592,20.49,34.42,222,264,3879.73,winter,saturday,4.41,172,23.87
1391,73.04,79.64,355,208,2053.36,winter,monday,3.05,302,74.71
1674,124.05,120.82,354,583,2677.07,summer,saturday,3.39,409,125.03
1418,114.09,109.78,151,794,97.55,monsoon,friday,3.56,189,113.66
1288,23.8,13.61,147,540,2253.14,summer,tuesday,4.52,154,23.93
1378,160.79,177.8,264,214,3868.36,monsoon,sunday,3.87,304,164.45
1772,194.76,199.6,206,116,3725.67,monsoon,tuesday,3.72,210,197.13
1489,40.34,55.08,156,176,3844.06,summer,thursday,3.65,192,43.75
1230,179.55,200.64,154,404,1461.29,festival,saturday,4.58,164,182.43
1040,113.58,132.36,399,882,4188.2,festival,tuesday,4.21,325,117.52
1027,187.51,183.5,276,620,3809.35,winter,monday,2.95,220,188.95
1134,39.34,68.42,486,727,3750.11,summer,wednesday,4.77,385,44.14
1200,159.44,167.18,311,642,1962.22,monsoon,thursday,3.16,301,161.14
1839,16.66,5.12,448,332,1669.17,festival,thursday,2.96,481,16.31
1779,177.22,179.82,124,705,2183.27,summer,friday,4.34,106,178.57
1929,136.46,137.63,41,510,1248.17,festival,tuesday,4.47,43,137.22
1032,77.2,81.59,299,505,1806.05,winter,friday,3.78,356,78.53
1047,42.14,45.23,477,145,3501.05,winter,thursday,3.38,553,44.2
1502,164.22,170.56,10,357,4019.98,festival,saturday,4.55,11,166.91
1406,122.63,115.71,475,305,519.26,festival,thursday,2.52,408,122.14
1573,75.28,78.57,121,675,72.46,winter,thursday,3.24,124,75.59
1727,91.55,87.41,223,383,1135.33,monsoon,friday,4.55,197,91.74
1804,166.18,168.26,71,904,1707.9,monsoon,tuesday,2.62,83,167.13
1098,71.09,69.51,212,338,2545.68,monsoon,sunday,2.78,214,72.16
1683,22.48,18.47,472,716,3555.26,winter,sunday,4.72,585,23.87
1871,182.7,190.35,128,356,3451.41,monsoon,tuesday,3.17,103,185.16
1725,80.53,85.69,244,42,4428.58,monsoon,sunday,4.16,266,83.31
1986,72.94,77.29,346,582,3318.03,summer,friday,3.32,405,74.99
1546,44.86,40.55,416,103,2501.53,summer,saturday,3.08,312,45.67
1960,180.0,185.9,215,74,733.36,monsoon,monday,2.79,274,180.94
1738,47.41,47.16,353,730,1413.06,winter,sunday,4.61,429,48.1
1612,129.15,125.1,27,752,3258.51,summer,friday,3.91,32,130.34
1942,176.75,186.86,332,838,1293.92,winter,tuesday,4.04,317,178.38
1461,11.81,20.07,326,188,3957.98,summer,tuesday,4.39,249,14.67
1642,166.61,136.61,67,717,1076.97,festival,saturday,3.48,53,164.1
1768,85.07,63.72,336,374,3710.6,monsoon,wednesday,4.66,386,84.84
1004,133.31,149.03,27,386,114.09,festival,sunday,3.92,28,134.95
1217,77.62,65.15,85,677,1352.77,monsoon,tuesday,3.41,69,77.0
1502,140.63,127.51,227,825,1062.92,winter,wednesday,4.52,247,139.84
1766,54.59,53.16,382,612,4723.86,festival,sunday,2.86,388,56.74
1397,9.28,11.93,193,149,2932.46,summer,saturday,3.04,241,11.0
1870,189.82,184.98,308,779,1779.57,summer,thursday,3.48,306,190.17
1794,8.19,-22.33,58,268,2668.17,winter,wednesday,3.92,50,6.49
1392,165.7,167.26,377,166,4996.58,summer,thursday,3.21,295,168.35
1206,37.98,56.0,328,348,1799.0,winter,friday,2.89,379,40.64
1014,81.48,67.72,395,650,1055.57,winter,sunday,3.46,410,80.59
1857,165.39,181.88,481,713,578.2,monsoon,tuesday,4.39,353,167.33
1553,45.16,42.37,273,900,1864.08,monsoon,tuesday,3.83,272,45.76
1891,173.81,191.65,253,187,4746.77,winter,wednesday,4.79,277,178.04
1460,102.06,108.3,283,910,778.22,winter,monday,3.88,317,103.03
1690,76.4,70.94,413,975,3049.26,festival,monday,3.84,329,77.32
1574,134.18,140.48,450,546,2638.32,summer,sunday,3.33,485,136.09
1863,71.57,84.69,413,205,4919.18,festival,thursday,3.07,347,75.32
1742,72.72,58.11,114,834,144.94,festival,monday,3.11,83,71.25
1240,148.04,149.14,16,345,3116.08,monsoon,friday,4.1,20,149.73
1563,65.42,75.77,152,581,871.19,festival,saturday,3.03,194,66.83
1095,44.15,40.72,304,559,1159.35,winter,sunday,4.66,250,44.41
1899,162.49,149.33,255,898,4498.44,winter,saturday,3.71,204,163.37
1733,162.05,182.54,323,425,2530.23,winter,monday,4.3,279,165.39
1484,102.03,83.97,411,147,4662.75,summer,sunday,3.93,303,102.59
1406,107.7,104.56,482,47,742.49,monsoon,thursday,2.82,406,107.74
1230,140.73,140.01,173,323,461.98,monsoon,friday,3.19,136,140.87
1748,104.31,125.25,371,779,1599.39,summer,thursday,4.09,435,107.18
1654,86.32,64.07,11,797,3522.58,festival,saturday,3.8,9,85.82
1170,199.0,198.85,354,416,2678.27,monsoon,friday,3.69,366,200.32
1540,33.79,27.41,206,72,2539.51,summer,friday,3.58,184,34.44
1035,120.58,114.14,495,520,2313.51,monsoon,tuesday,4.8,500,121.13
1524,177.74,193.38,448,717,3648.65,summer,saturday,3.69,483,181.09
1159,139.01,129.29,125,529,928.59,winter,friday,4.58,152,138.53
1838,176.78,164.21,76,21,1890.18,winter,friday,3.89,67,176.51
1698,70.59,58.82,229,952,2139.37,festival,monday,2.6,249,70.37
1242,58.04,59.68,146,358,1958.72,winter,tuesday,3.94,144,59.19
1085,171.0,170.75,197,603,1118.2,summer,sunday,4.06,229,171.53
1795,81.85,79.17,261,318,476.59,winter,saturday,4.41,293,81.86
1577,143.39,138.06,139,266,194.68,monsoon,sunday,2.84,135,142.92
1681,33.81,48.02,95,376,4555.21,summer,sunday,4.37,104,37.54
1556,152.39,132.7,204,335,3866.73,festival,wednesday,3.4,146,152.34
1573,112.05,124.15,296,224,3726.58,monsoon,tuesday,3.96,271,115.15
1952,57.38,43.39,117,490,3506.23,monsoon,sunday,3.12,90,57.69
1645,101.43,112.17,354,61,1310.35,summer,thursday,3.37,356,103.17
1795,140.9,149.0,427,443,31.68,summer,thursday,3.61,493,141.71
1027,7.32,13.63,140,808,1180.9,winter,friday,3.59,165,8.49
1619,129.31,128.4,242,366,2829.33,summer,saturday,2.72,280,130.58
1555,110.61,106.32,36,129,232.12,monsoon,sunday,3.48,36,110.31
1339,47.96,49.86,110,954,4149.62,festival,monday,4.5,88,50.2
1797,151.83,163.09,468,159,3681.76,festival,monday,3.19,553,154.79
1957,64.17,60.99,28,69,4151.76,monsoon,wednesday,4.08,31,65.97
1330,58.99,53.87,302,360,128.13,summer,friday,3.15,263,58.51
1639,96.89,96.46,62,467,2196.58,monsoon,sunday,3.39,58,97.92
1505,136.85,134.25,175,925,2338.97,monsoon,thursday,3.64,223,137.7
1347,186.12,184.49,231,777,3503.18,festival,tuesday,3.92,215,187.68
1472,32.56,49.12,274,711,4515.9,winter,sunday,4.86,199,36.5
1230,82.31,74.59,366,75,2940.3,summer,thursday,3.17,455,83.01
1189,18.06,30.67,35,17,2621.82,monsoon,saturday,2.84,36,20.62
1224,152.92,162.16,250,697,735.88,winter,sunday,4.2,319,154.2
1384,92.31,77.9,348,805,1376.95,summer,friday,4.07,279,91.53
1376,142.85,135.72,178,560,1336.79,monsoon,tuesday,4.75,182,142.84
1282,67.83,67.33,225,558,3442.93,winter,sunday,2.87,261,69.44
1957,169.64,169.04,406,327,2293.66,festival,tuesday,2.92,362,170.69
1632,109.29,103.96,79,931,4400.18,winter,sunday,3.6,99,110.89
1627,189.0,199.13,285,605,2668.56,festival,monday,2.69,228,191.27
1972,20.37,22.4,121,189,816.15,winter,monday,2.71,117,20.95
1744,105.28,106.0,490,410,4206.36,festival,monday,4.25,344,107.48
1258,154.46,167.42,101,595,790.26,winter,wednesday,2.97,88,156.09
1358,122.03,114.76,311,626,1114.55,summer,tuesday,2.63,396,121.78
1709,9.52,3.75,259,133,847.48,monsoon,tuesday,4.69,213,9.44
1455,194.61,190.72,99,954,1375.4,festival,friday,4.22,77,194.87
1410,63.16,49.2,360,490,2295.98,winter,monday,3.62,294,62.89
1648,53.61,53.39,240,91,4850.49,summer,sunday,4.97,278,56.1
1317,99.7,105.95,413,623,10.27,monsoon,friday,4.42,351,100.34
1676,110.72,98.06,65,544,2962.17,winter,thursday,4.41,64,110.95
1224,154.43,143.94,153,377,359.6,summer,thursday,3.1,163,153.53
1818,81.69,82.1,103,37,4447.64,monsoon,monday,2.59,127,83.93
1233,90.79,94.22,422,465,1991.47,summer,friday,4.37,538,92.15
1683,109.32,106.84,112,348,3643.21,summer,wednesday,4.36,102,110.93
1663,81.91,77.99,350,500,4869.45,monsoon,tuesday,3.44,420,83.92
1974,183.34,196.83,224,41,1949.67,winter,tuesday,2.96,202,185.66
1826,170.99,165.17,259,491,2249.75,winter,tuesday,3.88,305,171.53
1373,93.72,108.85,63,769,1279.0,monsoon,sunday,4.46,57,95.87
1671,5.04,-0.6,60,230,1626.58,monsoon,friday,4.77,74,5.35
1607,180.68,185.86,95,747,2600.94,festival,monday,4.57,90,182.5
1471,29.25,23.37,126,409,3409.76,festival,saturday,4.85,163,30.42
1232,52.68,48.39,400,878,3846.46,festival,sunday,4.23,289,54.15
1691,34.71,28.37,201,514,1195.7,festival,monday,3.68,220,34.66
1112,40.06,47.34,23,315,2151.09,monsoon,wednesday,3.78,28,41.87
1829,161.56,177.86,434,593,1512.06,monsoon,monday,4.08,502,163.94
1496,118.0,119.03,329,200,3708.98,festival,tuesday,3.01,385,119.94
1441,191.44,180.97,394,435,4835.92,festival,monday,4.47,301,192.84
1563,50.13,56.41,219,678,3791.66,festival,wednesday,4.92,160,52.68
1267,99.7,114.46,17,594,1827.39,winter,thursday,4.82,21,102.12
1509,195.6,204.32,188,286,358.47,summer,friday,4.98,205,196.72
1806,166.16,152.33,213,928,891.8,winter,friday,4.18,197,165.19
1385,147.08,140.98,143,70,2445.31,winter,thursday,3.76,114,147.72
1386,41.85,33.71,283,0,1158.96,festival,friday,3.13,280,41.62
1112,155.03,155.62,242,857,156.2,summer,sunday,4.65,203,155.16
1612,72.78,78.52,306,310,2593.85,festival,saturday,4.53,363,74.7
1624,108.45,119.6,78,731,1904.85,festival,tuesday,3.5,89,110.47
1951,123.79,127.8,398,495,3516.51,winter,tuesday,4.52,501,125.98
1080,123.83,138.98,89,970,3055.42,winter,tuesday,2.81,109,126.77
1698,146.67,165.16,389,470,4132.94,winter,tuesday,4.87,365,150.63
1112,134.03,148.38,75,3,2264.08,monsoon,sunday,4.49,76,136.67
1001,18.33,11.59,108,672,3274.63,monsoon,friday,3.84,113,19.27
1641,94.18,101.16,283,57,2451.11,festival,wednesday,2.7,274,96.08
1219,134.48,139.98,302,66,141.34,summer,tuesday,4.12,328,135.15
1565,62.72,81.66,12,222,2112.61,winter,tuesday,4.02,8,65.7
1854,66.05,97.43,362,163,579.15,monsoon,tuesday,2.5,401,69.44
1996,29.29,25.54,387,638,738.81,monsoon,sunday,2.71,281,29.21
1735,86.63,89.01,179,117,3169.85,summer,saturday,3.25,229,88.45
1224,197.43,198.91,370,782,496.19,monsoon,wednesday,2.93,398,197.74
1384,60.64,73.11,478,505,1979.06,monsoon,saturday,3.54,521,62.85
1402,108.63,107.92,380,686,400.47,monsoon,thursday,3.2,350,108.7
1637,149.93,157.4,110,330,4213.5,monsoon,monday,2.63,86,152.73
1129,7.63,8.59,293,980,949.87,summer,monday,3.42,359,8.12
1052,180.59,166.08,53,245,2054.63,winter,tuesday,4.66,44,180.22
1683,80.38,80.79,152,666,3105.25,festival,monday,2.78,170,81.9
1729,174.48,177.24,171,212,780.9,winter,tuesday,4.2,200,175.19
1671,12.59,15.99,78,455,3393.19,monsoon,wednesday,3.0,63,14.58
1709,33.4,44.53,453,575,3400.58,monsoon,monday,2.81,586,36.15
1415,67.89,64.57,96,49,2040.61,winter,sunday,3.27,100,68.59
1246,72.37,62.69,128,806,4261.38,monsoon,thursday,3.92,128,73.5
1835,170.32,185.45,498,914,898.81,monsoon,wednesday,4.0,384,172.24
1438,7.18,3.52,298,920,1914.7,winter,friday,3.52,260,7.71
1202,130.02,132.88,60,376,1704.36,festival,sunday,4.91,59,131.22
1183,30.61,32.23,311,592,3115.12,summer,thursday,4.74,358,32.36
1122,165.53,151.26,362,681,3257.46,monsoon,monday,4.61,331,165.74
1400,156.82,172.44,262,720,3872.35,festival,wednesday,2.79,308,160.24
1766,102.48,106.45,464,535,4297.75,festival,sunday,3.91,579,105.02
1293,46.47,53.67,69,763,287.72,winter,sunday,2.51,59,47.23
1279,128.73,142.42,317,41,2681.79,festival,wednesday,3.22,344,131.45
1836,35.47,35.18,415,386,3869.34,winter,thursday,4.44,343,37.41
1883,42.05,49.11,24,254,1742.72,summer,wednesday,3.37,19,43.62
1609,127.2,130.06,443,198,727.84,festival,sunday,4.63,473,127.91
1197,198.29,207.37,188,484,4587.05,summer,tuesday,4.91,178,201.54
1981,178.76,176.25,465,185,409.3,winter,sunday,4.38,443,178.76
1906,120.66,137.61,242,812,4920.16,monsoon,wednesday,3.62,220,124.76
1510,110.01,99.85,473,352,904.84,winter,monday,3.9,606,109.46
1751,199.69,214.68,394,944,1264.04,monsoon,sunday,3.73,362,201.76
1143,111.74,127.56,38,577,1832.7,monsoon,sunday,3.31,47,114.2
1608,86.92,91.26,427,315,14.57,summer,monday,3.97,336,87.38
1200,182.36,182.86,318,818,3281.01,winter,saturday,4.19,284,184.03
1123,50.67,65.58,268,156,672.86,winter,friday,4.4,294,52.55
1186,24.02,34.62,313,69,2781.09,festival,tuesday,4.2,247,26.52
1325,128.65,121.52,484,168,720.23,winter,monday,3.02,381,128.28
1463,23.69,30.4,413,519,1336.35,festival,wednesday,2.87,512,24.97
1348,77.76,76.46,258,221,666.67,winter,saturday,3.91,226,77.99
1770,87.6,93.07,74,875,3180.2,festival,saturday,4.15,58,89.71
1659,111.77,118.96,262,924,4435.23,festival,wednesday,3.38,211,114.63
1763,198.37,191.52,400,978,338.5,monsoon,tuesday,4.92,415,197.85
1954,48.09,35.17,469,889,2247.59,monsoon,monday,3.56,423,47.86
1931,78.27,73.62,285,441,3283.58,monsoon,monday,2.94,314,79.4
1402,30.79,44.44,354,141,1501.29,winter,thursday,4.92,303,32.99
1345,123.48,125.91,52,444,2256.89,monsoon,saturday,3.98,63,124.86
1962,146.9,160.8,374,660,4653.37,festival,saturday,2.78,360,150.54
1510,99.0,117.8,450,464,3055.22,summer,wednesday,2.66,510,102.34
1146,52.94,55.44,130,502,3780.36,summer,wednesday,3.59,92,55.06
1147,126.07,132.13,348,21,3579.48,festival,sunday,4.27,244,128.53
1863,110.14,119.74,54,756,2000.65,summer,saturday,3.77,63,112.06
1710,38.38,19.19,81,302,2651.49,summer,wednesday,4.62,75,37.84
1819,84.11,78.83,400,660,4241.78,summer,monday,2.52,375,85.61
1488,89.86,90.59,440,29,1598.76,summer,wednesday,2.56,436,90.71
1928,196.61,208.71,491,477,1106.17,festival,sunday,3.92,508,198.37
1935,170.61,157.21,10,567,238.41,festival,wednesday,3.9,10,169.38
1639,148.2,156.9,325,320,202.06,summer,saturday,2.98,347,149.14
1550,178.31,174.22,339,502,2003.43,festival,tuesday,3.15,384,178.86
1337,148.42,155.03,475,359,2130.11,winter,sunday,3.25,548,150.12
1871,181.16,178.54,237,989,3141.98,summer,monday,2.92,301,182.37
1640,15.64,14.17,210,142,2301.47,winter,tuesday,4.88,232,16.72
1778,93.93,90.2,385,413,1290.54,winter,friday,4.39,424,94.23
1987,150.65,148.08,192,552,1506.84,monsoon,friday,4.24,192,151.15
1952,118.74,132.07,433,365,3849.98,summer,thursday,4.19,533,122.02
1472,39.16,29.96,268,151,2824.75,monsoon,thursday,4.7,211,39.72
1945,71.4,58.63,365,101,2220.89,monsoon,thursday,3.17,405,71.23
1150,66.97,56.23,276,149,2982.43,festival,monday,4.28,303,67.44
1414,55.96,51.81,262,322,3689.68,summer,sunday,3.54,272,57.38
1989,71.91,71.81,308,789,2430.3,winter,saturday,2.71,298,73.02
1297,105.4,108.23,310,217,621.25,festival,thursday,3.72,301,106.01
1610,171.7,171.65,273,669,2224.99,winter,thursday,3.4,242,172.76
1262,149.7,144.49,229,722,3328.1,winter,thursday,3.71,178,150.81
1763,167.87,188.6,247,937,4198.27,summer,monday,4.4,217,172.02
1143,177.3,184.44,176,861,4311.63,winter,monday,3.75,157,180.12
1345,86.15,79.59,381,210,2458.44,monsoon,wednesday,4.84,414,86.79
1623,72.48,73.48,436,813,3837.15,summer,monday,3.09,545,74.42
1571,16.24,28.12,368,119,2552.94,summer,saturday,2.96,327,18.69
1880,186.45,182.06,170,467,1307.64,monsoon,tuesday,4.04,142,186.67
1001,17.84,16.72,294,17,3955.99,winter,saturday,3.16,316,19.71
1896,149.52,146.3,207,852,1164.68,summer,thursday,3.89,263,149.74
1303,78.73,91.25,155,696,2682.15,summer,sunday,4.17,182,81.31
1253,190.01,195.32,498,733,1404.42,winter,sunday,2.77,407,191.16
